texture,rank,beta,alpha,max_iter,phase_iter,phase_method,sdr,sir,sar,mci,bark_entropy,reconstruction_error
polyphonic_choir,2,0,0.0,100,50,griffin_lim,2.8589687,2.8589687,2.8590262,-4.820154,0.07081853,3.5626855
polyphonic_choir,2,0,0.0,100,50,fast_griffin_lim,2.8589687,2.8589687,2.8590262,-4.820154,0.07081853,3.5626855
polyphonic_choir,2,0,0.0,300,50,griffin_lim,2.8757863,2.8757863,2.875846,-4.8076262,0.07081853,3.5508826
polyphonic_choir,2,0,0.0,300,50,fast_griffin_lim,2.8757863,2.8757863,2.875846,-4.8076262,0.07081853,3.5508826
polyphonic_choir,2,0,0.1,100,50,griffin_lim,2.8322766,2.8322766,2.8324094,-4.852292,0.07081853,3.7350538
polyphonic_choir,2,0,0.1,100,50,fast_griffin_lim,2.8322766,2.8322766,2.8324094,-4.852292,0.07081853,3.7350538
polyphonic_choir,2,0,0.1,300,50,griffin_lim,2.8695703,2.8695703,2.8697066,-4.8049974,0.07081853,3.7073936
polyphonic_choir,2,0,0.1,300,50,fast_griffin_lim,2.8695703,2.8695703,2.8697066,-4.8049974,0.07081853,3.7073936
polyphonic_choir,2,1,0.0,100,50,griffin_lim,2.8589687,2.8589687,2.8590262,-4.820154,0.07081853,3.5626855
polyphonic_choir,2,1,0.0,100,50,fast_griffin_lim,2.8589687,2.8589687,2.8590262,-4.820154,0.07081853,3.5626855
polyphonic_choir,2,1,0.0,300,50,griffin_lim,2.8757863,2.8757863,2.875846,-4.8076262,0.07081853,3.5508826
polyphonic_choir,2,1,0.0,300,50,fast_griffin_lim,2.8757863,2.8757863,2.875846,-4.8076262,0.07081853,3.5508826
polyphonic_choir,2,1,0.1,100,50,griffin_lim,2.8322766,2.8322766,2.8324094,-4.852292,0.07081853,3.7350538
polyphonic_choir,2,1,0.1,100,50,fast_griffin_lim,2.8322766,2.8322766,2.8324094,-4.852292,0.07081853,3.7350538
polyphonic_choir,2,1,0.1,300,50,griffin_lim,2.8695703,2.8695703,2.8697066,-4.8049974,0.07081853,3.7073936
polyphonic_choir,2,1,0.1,300,50,fast_griffin_lim,2.8695703,2.8695703,2.8697066,-4.8049974,0.07081853,3.7073936
polyphonic_choir,2,2,0.0,100,50,griffin_lim,3.4816027,3.4816027,3.481738,-3.0858252,0.07081853,3.1477842
polyphonic_choir,2,2,0.0,100,50,fast_griffin_lim,3.4816027,3.4816027,3.481738,-3.0858252,0.07081853,3.1477842
polyphonic_choir,2,2,0.0,300,50,griffin_lim,3.4816027,3.4816027,3.481738,-3.0858252,0.07081853,3.1477842
polyphonic_choir,2,2,0.0,300,50,fast_griffin_lim,3.4816027,3.4816027,3.481738,-3.0858252,0.07081853,3.1477842
polyphonic_choir,2,2,0.1,100,50,griffin_lim,3.4636326,3.4636326,3.4635804,1.8524176,0.07081853,3.1609385
polyphonic_choir,2,2,0.1,100,50,fast_griffin_lim,3.4636326,3.4636326,3.4635804,1.8524176,0.07081853,3.1609385
polyphonic_choir,2,2,0.1,300,50,griffin_lim,3.4637017,3.4637017,3.4636488,1.8450936,0.07081853,3.1609116
polyphonic_choir,2,2,0.1,300,50,fast_griffin_lim,3.4637017,3.4637017,3.4636488,1.8450936,0.07081853,3.1609116
polyphonic_choir,4,0,0.0,100,50,griffin_lim,4.5469604,4.5469604,4.5471087,-3.6350064,0.07081853,2.5312555
polyphonic_choir,4,0,0.0,100,50,fast_griffin_lim,4.5469604,4.5469604,4.5471087,-3.6350064,0.07081853,2.5312555
polyphonic_choir,4,0,0.0,300,50,griffin_lim,4.5469604,4.5469604,4.5471087,-3.6350064,0.07081853,2.5312555
polyphonic_choir,4,0,0.0,300,50,fast_griffin_lim,4.5469604,4.5469604,4.5471087,-3.6350064,0.07081853,2.5312555
polyphonic_choir,4,0,0.1,100,50,griffin_lim,4.135239,4.135239,4.1353664,-3.8041136,0.07081853,3.0236127
polyphonic_choir,4,0,0.1,100,50,fast_griffin_lim,4.135239,4.135239,4.1353664,-3.8041136,0.07081853,3.0236127
polyphonic_choir,4,0,0.1,300,50,griffin_lim,4.135239,4.135239,4.1353664,-3.8041136,0.07081853,3.0236127
polyphonic_choir,4,0,0.1,300,50,fast_griffin_lim,4.135239,4.135239,4.1353664,-3.8041136,0.07081853,3.0236127
polyphonic_choir,4,1,0.0,100,50,griffin_lim,4.5469604,4.5469604,4.5471087,-3.6350064,0.07081853,2.5312555
polyphonic_choir,4,1,0.0,100,50,fast_griffin_lim,4.5469604,4.5469604,4.5471087,-3.6350064,0.07081853,2.5312555
polyphonic_choir,4,1,0.0,300,50,griffin_lim,4.5469604,4.5469604,4.5471087,-3.6350064,0.07081853,2.5312555
polyphonic_choir,4,1,0.0,300,50,fast_griffin_lim,4.5469604,4.5469604,4.5471087,-3.6350064,0.07081853,2.5312555
polyphonic_choir,4,1,0.1,100,50,griffin_lim,4.135239,4.135239,4.1353664,-3.8041136,0.07081853,3.0236127
polyphonic_choir,4,1,0.1,100,50,fast_griffin_lim,4.135239,4.135239,4.1353664,-3.8041136,0.07081853,3.0236127
polyphonic_choir,4,1,0.1,300,50,griffin_lim,4.135239,4.135239,4.1353664,-3.8041136,0.07081853,3.0236127
polyphonic_choir,4,1,0.1,300,50,fast_griffin_lim,4.135239,4.135239,4.1353664,-3.8041136,0.07081853,3.0236127
polyphonic_choir,4,2,0.0,100,50,griffin_lim,5.0111275,5.0111275,5.0113173,-2.9932256,0.07081853,2.2963378
polyphonic_choir,4,2,0.0,100,50,fast_griffin_lim,5.0111275,5.0111275,5.0113173,-2.9932256,0.07081853,2.2963378
polyphonic_choir,4,2,0.0,300,50,griffin_lim,5.0123787,5.0123787,5.0125713,-2.9263806,0.07081853,2.2957323
polyphonic_choir,4,2,0.0,300,50,fast_griffin_lim,5.0123787,5.0123787,5.0125713,-2.9263806,0.07081853,2.2957323
polyphonic_choir,4,2,0.1,100,50,griffin_lim,4.969354,4.969354,4.969308,2.8487127,0.07081853,2.319584
polyphonic_choir,4,2,0.1,100,50,fast_griffin_lim,4.969354,4.969354,4.969308,2.8487127,0.07081853,2.319584
polyphonic_choir,4,2,0.1,300,50,griffin_lim,4.988136,4.988136,4.9880905,2.8359418,0.07081853,2.310447
polyphonic_choir,4,2,0.1,300,50,fast_griffin_lim,4.988136,4.988136,4.9880905,2.8359418,0.07081853,2.310447
polyphonic_choir,8,0,0.0,100,50,griffin_lim,6.350361,6.350361,6.3505173,-2.637154,0.07081853,1.7253201
polyphonic_choir,8,0,0.0,100,50,fast_griffin_lim,6.350361,6.350361,6.3505173,-2.637154,0.07081853,1.7253201
polyphonic_choir,8,0,0.0,300,50,griffin_lim,6.3933396,6.3933396,6.393495,-2.6271245,0.07081853,1.7093611
polyphonic_choir,8,0,0.0,300,50,fast_griffin_lim,6.3933396,6.3933396,6.393495,-2.6271245,0.07081853,1.7093611
polyphonic_choir,8,0,0.1,100,50,griffin_lim,4.702461,4.702461,4.702616,-3.3586633,0.07081853,2.8280714
polyphonic_choir,8,0,0.1,100,50,fast_griffin_lim,4.702461,4.702461,4.702616,-3.3586633,0.07081853,2.8280714
polyphonic_choir,8,0,0.1,300,50,griffin_lim,4.702461,4.702461,4.702616,-3.3586633,0.07081853,2.8280714
polyphonic_choir,8,0,0.1,300,50,fast_griffin_lim,4.702461,4.702461,4.702616,-3.3586633,0.07081853,2.8280714
polyphonic_choir,8,1,0.0,100,50,griffin_lim,6.350361,6.350361,6.3505173,-2.637154,0.07081853,1.7253201
polyphonic_choir,8,1,0.0,100,50,fast_griffin_lim,6.350361,6.350361,6.3505173,-2.637154,0.07081853,1.7253201
polyphonic_choir,8,1,0.0,300,50,griffin_lim,6.3933396,6.3933396,6.393495,-2.6271245,0.07081853,1.7093611
polyphonic_choir,8,1,0.0,300,50,fast_griffin_lim,6.3933396,6.3933396,6.393495,-2.6271245,0.07081853,1.7093611
polyphonic_choir,8,1,0.1,100,50,griffin_lim,4.702461,4.702461,4.702616,-3.3586633,0.07081853,2.8280714
polyphonic_choir,8,1,0.1,100,50,fast_griffin_lim,4.702461,4.702461,4.702616,-3.3586633,0.07081853,2.8280714
polyphonic_choir,8,1,0.1,300,50,griffin_lim,4.702461,4.702461,4.702616,-3.3586633,0.07081853,2.8280714
polyphonic_choir,8,1,0.1,300,50,fast_griffin_lim,4.702461,4.702461,4.702616,-3.3586633,0.07081853,2.8280714
polyphonic_choir,8,2,0.0,100,50,griffin_lim,7.6216125,7.6216125,7.621772,-2.3407278,0.07081853,1.3075794
polyphonic_choir,8,2,0.0,100,50,fast_griffin_lim,7.6216125,7.6216125,7.621772,-2.3407278,0.07081853,1.3075794
polyphonic_choir,8,2,0.0,300,50,griffin_lim,7.621615,7.621615,7.6217737,-2.3408227,0.07081853,1.3075788
polyphonic_choir,8,2,0.0,300,50,fast_griffin_lim,7.621615,7.621615,7.6217737,-2.3408227,0.07081853,1.3075788
polyphonic_choir,8,2,0.1,100,50,griffin_lim,7.4989977,7.4989977,7.498947,4.275396,0.07081853,1.3482224
polyphonic_choir,8,2,0.1,100,50,fast_griffin_lim,7.4989977,7.4989977,7.498947,4.275396,0.07081853,1.3482224
polyphonic_choir,8,2,0.1,300,50,griffin_lim,7.49841,7.49841,7.4983587,4.2837973,0.07081853,1.3484111
polyphonic_choir,8,2,0.1,300,50,fast_griffin_lim,7.49841,7.49841,7.4983587,4.2837973,0.07081853,1.3484111
polyphonic_choir,16,0,0.0,100,50,griffin_lim,8.464481,8.464481,8.4646,-1.9446089,0.07081853,1.0861961
polyphonic_choir,16,0,0.0,100,50,fast_griffin_lim,8.464481,8.464481,8.4646,-1.9446089,0.07081853,1.0861961
polyphonic_choir,16,0,0.0,300,50,griffin_lim,8.674823,8.674823,8.674935,-1.8401203,0.07081853,1.0362703
polyphonic_choir,16,0,0.0,300,50,fast_griffin_lim,8.674823,8.674823,8.674935,-1.8401203,0.07081853,1.0362703
polyphonic_choir,16,0,0.1,100,50,griffin_lim,4.6183305,4.6183305,4.6184883,-3.1359382,0.07081853,2.854311
polyphonic_choir,16,0,0.1,100,50,fast_griffin_lim,4.6183305,4.6183305,4.6184883,-3.1359382,0.07081853,2.854311
polyphonic_choir,16,0,0.1,300,50,griffin_lim,4.6183305,4.6183305,4.6184883,-3.1359382,0.07081853,2.854311
